permno,tic,qtr,LEVm2,MMM_alt2,boom90os,logSIZEcs
36127,USB,1984q4,10.664405,1.5867647,0,-1.5255349
36127,USB,1985q1,10.69862,1.7427514,0,-1.4850737
36127,USB,1985q2,8.6325741,1.8460708,0,-1.3014435
36127,USB,1985q3,10.090573,1.6494508,0,-1.186591
36127,USB,1985q4,10.194697,1.3939816,0,-1.1555064
36127,USB,1986q1,8.6671124,1.7103812,0,-1.2749135
36127,USB,1986q2,8.0268984,1.732718,1,-1.1684698
36127,USB,1986q3,8.759697,1.5977644,0,-1.1388777
36127,USB,1986q4,10.435981,1.4240781,0,-1.160405
36127,USB,1987q1,9.4081497,1.5093347,0,-1.1592928
36127,USB,1987q2,10.086293,1.4551933,0,-1.0997285
36127,USB,1987q3,8.6967497,1.37274,0,-1.0361645
36127,USB,1987q4,11.074508,1.2852849,0,-.90345234
36127,USB,1988q1,9.3659992,1.3834796,0,-.92468363
36127,USB,1988q2,9.0803261,1.2907017,0,-.75834942
36127,USB,1988q3,10.276065,1.3333875,0,-.84335423
36127,USB,1988q4,10.636986,1.2720416,0,-.80345792
36127,USB,1989q1,9.6234798,1.3127022,0,-.88176262
36127,USB,1989q2,9.1805468,1.3206271,0,-.90296644
36127,USB,1989q3,8.4639158,1.3008953,0,-.86660618
36127,USB,1989q4,9.6846218,1.2444515,0,-.94200987
36127,USB,1990q1,10.980275,1.3237283,0,-.95252371
36127,USB,1990q2,9.718708,1.3354853,0,-.88857561
36127,USB,1990q3,13.128556,1.3306451,0,-.86494625
36127,USB,1990q4,12.976949,1.2514828,0,-.85737234
36127,USB,1991q1,9.8853483,1.2083806,0,-.84370905
36127,USB,1991q2,10.41482,1.1992196,0,-.88426495
36127,USB,1991q3,10.105895,1.2266823,0,-.8755638
36127,USB,1991q4,9.4294643,1.2299199,0,-.80234557
36127,USB,1992q1,8.5759706,1.2362194,0,-.78782493
36127,USB,1992q2,8.8404474,1.3085327,1,-.50452381
36127,USB,1992q3,8.5496588,1.1891308,0,-.6490708
36127,USB,1992q4,7.7629495,1.2497644,1,-.67492241
36127,USB,1993q1,7.1636882,1.2124985,2,-.69418508
36127,USB,1993q2,7.4695535,1.2130342,0,-.69330496
36127,USB,1993q3,7.5585084,1.1667112,0,-.77921057
36127,USB,1993q4,7.7174802,1.2028806,0,-.46018037
36127,USB,1994q1,7.6200089,1.1983303,0,-.39171889
36127,USB,1994q2,7.3931198,1.1963459,0,-.31891072
36127,USB,1994q3,7.989058,1.1645625,1,-.24455637
36127,USB,1994q4,9.0244074,1.1709224,0,-.26368231
36127,USB,1995q1,7.6760283,1.1640325,0,-.23938254
36127,USB,1995q2,7.1612368,1.1682006,1,-.256286
36127,USB,1995q3,6.5921512,1.1718627,2,-.19071093
36127,USB,1995q4,5.9282026,1.1810513,3,-.13618892
36127,USB,1996q1,5.5673499,1.1729928,4,-.13260832
36127,USB,1996q2,5.4269094,1.17206,5,-.086711317
36127,USB,1996q3,4.6329479,1.1748817,6,.014824118
36127,USB,1996q4,4.4513164,1.1970303,7,.040916596
36127,USB,1997q1,3.6834414,1.1845931,8,.18466677
36127,USB,1997q2,3.7445307,1.2536038,9,.23760293
36127,USB,1997q3,3.5118268,1.2305282,10,.15068281
36127,USB,1997q4,3.0519953,1.2546475,11,.2113443
36127,USB,1998q1,3.2175705,1.2253549,12,.26658303
36127,USB,1998q2,3.2027605,1.2266699,13,.36186934
36127,USB,1998q3,3.6760528,1.2330607,0,.57993031
36127,USB,1998q4,2.7268345,1.248729,1,1.1476694
36127,USB,1999q1,2.7386763,1.2461221,2,1.6039238
36127,USB,1999q2,2.8639574,1.2474976,3,1.518966
36127,USB,1999q3,3.5699284,1.2708373,0,1.4594681
36127,USB,1999q4,4.2105551,1.2712785,0,1.8432331
36127,USB,2000q1,3.9868548,1.2462239,0,1.7456151
36127,USB,2000q2,4.3416476,1.2409427,0,1.7804427
36127,USB,2000q3,4.1863208,1.2260606,0,1.5658133
36127,USB,2000q4,4.2166762,1.2384433,0,1.3839778
36127,,2001q1,,,0,
36127,,2001q2,,,0,
36127,,2001q3,,,0,
36127,,2001q4,,,0,
36127,,2002q1,,,0,
36127,,2002q2,,,0,
36127,,2002q3,,,0,
36127,,2002q4,,,0,
36127,,2003q1,,,0,
38703,WFC,1971q1,10.518415,43.360973,0,-.62319404
38703,WFC,1971q2,11.824071,43.360973,0,-.67796099
38703,WFC,1971q3,11.540688,43.360973,0,-.56852829
38703,WFC,1971q4,11.724272,43.360973,0,-.52048451
38703,WFC,1972q1,9.7386274,43.360973,0,-.47066322
38703,WFC,1972q2,10.247184,43.360973,0,-.36144987
38703,WFC,1972q3,9.0984688,43.360973,0,-.12662603
38703,WFC,1972q4,8.7343435,43.360973,1,-.17752543
38703,WFC,1973q1,9.3272161,43.360973,0,-.038944311
38703,WFC,1973q2,9.5747671,43.360973,0,.085308656
38703,WFC,1973q3,9.3186979,43.360973,0,.051397853
38703,WFC,1973q4,9.8460217,43.360973,0,.066612676
38703,WFC,1974q1,10.042134,1.2837692,0,.13261937
38703,WFC,1974q2,16.001909,1.2782654,0,.016750405
38703,WFC,1974q3,23.247168,1.2808372,0,-.17270331
