permno,tic,qtr,LEVm2,MMM_alt2,boom90os,logSIZEcs
36469,WB,1983q3,15.268116,2.8613055,0,-1.0585835
36469,WB,1983q4,13.726792,1.3522335,0,-.94836962
36469,WB,1984q1,14.537052,2.4283259,0,-.82291639
36469,WB,1984q2,15.168745,2.0302677,0,-.81728452
36469,WB,1984q3,12.116854,2.0771551,0,-.66121131
36469,WB,1984q4,10.833171,1.3189224,0,-.66012943
36469,WB,1985q1,18.723209,1.9717461,0,-.42829686
36469,WB,1985q2,18.221119,1.9205397,0,-.34956816
36469,WB,1985q3,19.547514,1.8100473,0,-.402372
36469,WB,1985q4,18.387411,1.2059041,0,-.40431952
36469,WB,1986q1,17.94656,1.7018783,0,-.3928093
36469,WB,1986q2,9.9594526,1.6545154,1,-.23993193
36469,WB,1986q3,11.913483,1.821727,0,.38802201
36469,WB,1986q4,10.489736,1.2416469,1,.3607797
36469,WB,1987q1,8.762907,1.2398345,2,.64718342
36469,WB,1987q2,9.1132593,1.2688184,0,.66709298
36469,WB,1987q3,9.7873192,1.2312765,0,.61896938
36469,WB,1987q4,12.892653,1.2660736,0,.5998981
36469,WB,1988q1,13.202663,1.2246276,0,.67631036
36469,WB,1988q2,11.431477,1.2375026,0,.67606014
36469,WB,1988q3,11.880877,1.2127424,0,.63905144
36469,WB,1988q4,12.437736,1.2260851,0,.55411994
36469,WB,1989q1,12.769916,1.1998835,0,.54263759
36469,WB,1989q2,11.451791,1.1846677,0,.56043482
36469,WB,1989q3,12.468899,1.1901594,0,.49116549
36469,WB,1989q4,14.600929,1.1976161,0,.38885278
36469,WB,1990q1,20.127871,1.204381,0,.3354938
36469,WB,1990q2,18.745741,1.1887574,0,.33587217
36469,WB,1990q3,23.464622,1.1842641,0,.34195408
36469,WB,1990q4,23.769667,1.2196238,0,.39459637
36469,WB,1991q1,16.323681,1.1810228,0,.4290213
36469,WB,1991q2,16.229679,1.1854551,0,.42662555
36469,WB,1991q3,16.798784,1.2166764,0,.55956084
36469,WB,1991q4,12.984805,1.2430422,0,.6657244
36469,WB,1992q1,14.519413,1.2229168,0,.86642283
36469,WB,1992q2,12.522997,1.2189628,0,1.006273
36469,WB,1992q3,12.901951,1.2486353,0,1.0252084
36469,WB,1992q4,11.329338,1.2551309,0,.99581742
36469,WB,1993q1,8.9148445,1.2180438,0,1.0379076
36469,WB,1993q2,9.6974421,1.2321798,0,1.1969571
36469,WB,1993q3,9.2777929,1.1998512,0,1.1748472
36469,WB,1993q4,10.366659,1.2183316,0,1.4576203
36469,WB,1994q1,10.443993,1.2344807,0,1.5118854
36469,WB,1994q2,9.6434097,1.2522438,0,1.6069924
36469,WB,1994q3,10.227904,1.2428867,0,1.5928389
36469,WB,1994q4,10.876417,1.2383904,0,1.6077821
36469,WB,1995q1,14.73924,1.2183255,0,1.6188914
36469,WB,1995q2,15.105968,1.2452105,0,1.569001
36469,WB,1995q3,13.93361,1.2383221,0,1.5289459
36469,WB,1995q4,13.958764,1.2539477,0,1.5333804
36469,WB,1996q1,8.0594711,1.2529984,1,2.0139039
36469,WB,1996q2,8.5259228,1.2598128,2,2.0743337
36469,WB,1996q3,7.8012147,1.2623233,3,2.0988438
36469,WB,1996q4,7.197361,1.296092,4,2.0768833
36469,WB,1997q1,6.4810028,1.2729135,5,2.1647205
36469,WB,1997q2,6.1330996,1.2811867,6,2.1418045
36469,WB,1997q3,5.6839786,1.2852703,7,2.096477
36469,WB,1997q4,5.5133843,1.2964209,8,2.0755851
36469,WB,1998q1,5.3317327,1.3002903,9,2.1524251
36469,WB,1998q2,4.7715707,1.3169394,10,2.1936448
36469,WB,1998q3,5.2888074,1.3639879,11,2.7013958
36469,WB,1998q4,4.6545882,1.4078137,12,2.8114436
36469,WB,1999q1,5.0008845,1.3744752,13,2.6046567
36469,WB,1999q2,5.6953187,1.3770177,14,2.4199703
36469,WB,1999q3,7.4229054,1.3749224,0,2.3304958
36469,WB,1999q4,8.2636805,1.3928207,0,2.2446878
36469,WB,2000q1,7.4529915,1.3591392,0,2.1815069
36469,WB,2000q2,11.030694,1.3443629,0,2.0803244
36469,WB,2000q3,8.3133688,1.3991696,0,1.8258584
36469,WB,2000q4,9.7558031,1.4228933,0,1.7569394
36469,WB,2001q1,8.3394022,1.4204074,0,1.8881775
