Date;AIG;ALL;BRK;MET;PRU;BAC;C;GS;JPM;LEH;MS;AXP;BK;COF;PNC;STT;USB;WFC;FMCC;FNMA
30.12.99;167.113,52;19.430,24;80.136,04;7.871,31;16.457,07;84.829,88;189.028,02;42.454,25;63.766,28;10.139,70;80.346,13;74.649,75;29.089,99;9.600,72;13.031,83;11.638,42;20.829,38;66.102,87;32.916,97;64.634,28
31.12.99;167.403,50;19.379,84;75.286,13;7.854,81;16.334,56;85.679,25;187.759,40;41.562,20;64.074,83;10.163,68;79.506,25;74.425,56;29.455,91;9.501,61;13.105,25;11.688,32;20.706,45;66.410,25;32.786,09;64.054,60
03.01.00;160.920,30;18.876,46;73.541,56;7.826,94;16.336,43;82.691,63;178.276,60;38.969,73;60.208,70;9.488,61;75.189,81;70.396,50;27.246,72;9.107,25;12.424,21;11.158,39;20.155,09;64.254,77;31.000,92;60.592,21
04.01.00;152.695,20;18.322,75;69.783,94;7.799,07;16.433,54;77.783,50;170.690,40;36.515,16;58.456,06;8.926,04;69.620,19;67.738,50;26.464,30;8.540,36;12.037,68;10.538,48;19.419,95;60.970,19;30.478,43;59.117,48
05.01.00;153.058,10;19.128,15;71.394,38;7.671,20;16.778,43;78.637,13;171.322,60;34.805,24;58.095,20;8.393,48;67.079,06;65.919,81;25.865,97;8.343,18;12.092,90;10.728,45;18.991,12;60.456,96;30.478,43;57.450,37
06.01.00;157.727,00;19.027,48;73.809,94;7.943,33;17.077,32;84.292,19;182.491,30;36.294,53;58.919,98;8.746,02;68.367,06;67.262,81;26.510,32;8.725,21;12.663,50;11.178,39;20.461,40;63.125,71;31.958,81;61.489,85
07.01.00;169.532,40;19.732,20;75.822,94;7.915,45;17.015,68;83.118,44;182.069,80;36.432,42;60.002,51;8.513,49;70.490,44;68.242,13;27.891,07;8.971,69;12.681,90;11.578,33;21.257,80;64.254,77;33.090,87;62.195,18
10.01.00;166.532,60;19.279,16;75.151,94;7.687,58;17.464,43;80.237,56;181.859,10;37.232,23;58.971,54;8.903,54;72.753,06;69.193,44;26.648,40;8.860,77;12.240,15;11.508,34;21.135,28;62.201,89;32.263,60;60.720,45
11.01.00;163.823,20;19.228,83;73.273,13;7.759,71;17.254,86;78.530,38;179.119,60;37.425,28;57.579,72;8.761,02;72.753,06;69.836,94;26.004,05;8.577,33;12.111,31;11.738,31;20.338,88;61.175,48;32.002,35;60.720,45
12.01.00;168.758,20;19.329,50;71.931,13;7.831,84;17.210,07;79.384,00;185.441,40;37.232,23;57.940,54;8.663,51;73.310,06;69.473,19;26.832,50;8.688,24;12.369,00;11.928,28;21.380,32;62.920,41;32.568,38;61.297,50
13.01.00;173.402,90;19.983,89;73.004,75;7.903,97;17.295,56;81.197,88;187.338,00;37.287,39;58.816,88;8.678,51;73.762,56;69.836,94;27.522,87;8.910,07;13.491,78;12.218,24;22.789,34;66.410,25;34.397,09;63.798,15
14.01.00;176.596,20;19.480,51;70.052,31;7.976,10;17.781,90;85.999,31;195.556,40;37.783,82;60.930,38;9.091,06;76.477,75;71.403,75;28.811,56;9.230,48;13.767,87;12.648,18;22.789,34;68.463,13;35.137,28;66.298,75
17.01.00;176.596,20;19.480,51;70.052,31;8.048,23;18.083,75;85.999,31;195.556,40;37.783,82;60.930,38;9.091,06;76.477,75;71.403,75;28.811,56;9.230,48;13.767,87;12.648,18;22.789,34;68.463,13;35.137,28;66.298,75
18.01.00;167.790,60;19.379,84;69.783,94;8.120,35;17.680,90;81.944,81;197.242,30;38.335,40;58.559,16;9.151,06;74.493,56;67.850,38;27.522,87;8.380,15;13.528,59;12.238,24;22.973,13;63.844,19;33.787,52;62.323,38
19.01.00;164.500,50;18.977,14;70.857,56;7.992,48;17.414,48;80.344,25;201.456,90;38.638,78;61.136,57;9.181,07;75.572,75;66.675,25;27.338,77;8.552,68;13.344,53;12.218,24;22.544,30;60.354,31;32.742,54;62.099,00
20.01.00;161.500,80;19.128,15;71.125,94;7.864,61;17.555,02;78.637,13;194.292,10;37.921,71;60.208,70;8.918,54;75.085,38;68.242,13;27.062,62;8.355,50;12.958,00;12.148,25;21.747,89;59.738,44;31.610,49;59.886,88
21.01.00;160.920,30;18.926,80;70.991,75;7.836,74;17.832,63;77.996,88;190.288,20;37.811,39;60.157,13;8.460,98;73.797,38;67.906,31;26.786,47;8.158,32;12.921,18;12.308,23;21.257,80;60.149,02;31.523,41;57.450,37
24.01.00;157.243,10;18.373,09;70.991,75;7.708,87;18.446,65;76.076,31;186.073,60;36.073,89;60.208,70;8.340,97;71.291,13;68.046,25;26.694,42;8.109,02;12.792,34;12.028,27;21.012,75;58.917,31;31.175,08;57.867,14
25.01.00;159.372,00;18.423,43;70.857,56;7.881,00;18.433,16;77.036,63;188.391,60;37.011,59;61.548,95;8.468,48;72.091,69;70.900,19;26.740,45;7.899,52;12.976,40;12.468,20;21.319,06;61.791,31;30.913,84;56.424,49
26.01.00;163.339,40;18.675,12;71.125,94;7.553,12;17.949,78;80.451,00;195.977,90;38.942,15;64.487,22;8.686,01;74.006,25;71.515,75;29.041,69;8.269,23;13.307,71;12.928,14;22.360,51;62.817,77;32.176,52;58.668,64
27.01.00;162.952,30;18.675,12;70.656,25;7.925,25;18.028,78;82.158,19;198.928,10;39.273,11;66.549,13;8.836,03;75.259,44;72.942,63;28.765,54;8.182,96;13.749,46;13.238,09;22.666,82;64.049,48;34.614,79;60.528,07
28.01.00;157.920,50;18.373,09;70.186,56;8.697,38;17.990,33;78.103,63;189.234,60;38.390,56;63.250,06;8.310,96;70.525,25;70.844,19;27.799,02;7.899,52;13.510,18;12.598,19;21.809,16;63.638,89;34.832,49;59.758,67
31.01.00;161.597,60;18.675,12;68.710,38;8.869,51;17.661,64;82.691,63;192.184,80;40.431,44;66.549,13;8.558,50;73.797,38;73.754,06;29.916,16;8.084,38;14.136,00;12.828,15;23.401,96;65.691,75;34.963,11;61.489,85
01.02.00;158.501,10;18.574,44;69.649,75;8.841,64;17.940,81;82.691,63;196.399,40;40.265,96;69.075,06;8.400,98;71.291,13;75.656,69;30.100,26;7.924,17;14.209,62;13.138,11;23.830,79;66.410,25;34.310,01;61.874,58
