Date;AIG;ALL;BRK;MET;PRU;BAC;C;GS;JPM;LEH;MS;AXP;BK;COF;PNC;STT;USB;WFC;FMCC;FNMA
30.12.99;29.666,00;13.857,00;8.566,92;74.255,00;64.870,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
31.12.99;29.666,00;13.857,00;8.566,92;74.255,00;64.870,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
03.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
04.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
05.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
06.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
07.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
11.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
12.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
13.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
14.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
17.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
18.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
19.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
21.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
25.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
26.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
27.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
31.01.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
03.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
04.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
07.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
08.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
09.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
11.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
14.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
15.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
16.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
17.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
18.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
