Date;RESI;VIX;TBR3M;CRESPR;LIQSPR;YIESPR
30.12.99;-0,0087;24,7600;5,0700;1,8400;0,1900;1,3200
31.12.99;0,0044;24,6400;5,1700;1,7300;1,1800;1,2800
03.01.00;-0,0106;24,2100;5,2700;1,6900;1,2800;1,3100
04.01.00;-0,0096;27,0100;5,2700;1,7200;1,2800;1,2200
05.01.00;0,0043;26,4100;5,2800;1,6700;-0,1500;1,3400
06.01.00;0,0170;25,7300;5,2500;1,6700;-0,1300;1,3200
07.01.00;0,0219;21,7200;5,2200;1,7000;-0,1900;1,3000
10.01.00;0,0126;21,7100;5,2400;1,7000;-0,3000;1,3300
11.01.00;-0,0035;22,5000;5,2700;1,6900;-0,3400;1,4000
12.01.00;-0,0049;22,8400;5,2900;1,6800;-0,3200;1,4300
13.01.00;-0,0015;21,7100;5,2500;1,7500;-0,3600;1,3800
14.01.00;-0,0019;19,6600;5,2500;1,7300;-0,4900;1,4400
17.01.00;0,0000;19,6600;5,2500;1,7200;-0,3800;1,4500
18.01.00;0,0055;21,5000;5,2400;1,7200;-0,3500;1,5100
19.01.00;0,0052;21,7200;5,3500;1,7000;-0,2300;1,3800
20.01.00;-0,0036;21,7500;5,3200;1,6600;-0,2400;1,4700
21.01.00;-0,0012;20,8200;5,3100;1,6300;-0,2500;1,4800
24.01.00;-0,0113;24,0700;5,3200;1,6700;-0,2400;1,3700
25.01.00;-0,0024;23,0200;5,4000;1,6300;-0,1600;1,3000
26.01.00;0,0007;23,0300;5,4100;1,5900;-0,4200;1,2800
27.01.00;-0,0001;23,5400;5,4200;1,5500;-0,0500;1,2600
28.01.00;-0,0047;26,1400;5,4800;1,6000;0,0400;1,1800
31.01.00;-0,0080;24,9500;5,5300;1,6800;0,1700;1,1500
01.02.00;0,0047;23,4500;5,5400;1,6500;0,1800;1,0800
02.02.00;0,0006;23,1200;5,4900;1,6200;0,1300;1,1100
03.02.00;0,0046;22,0100;5,4600;1,6400;-0,0700;1,0300
04.02.00;-0,0051;21,5400;5,5000;1,6000;0,0400;1,0300
07.02.00;-0,0001;22,7900;5,4700;1,6600;-0,0500;1,1700
08.02.00;0,0013;21,2500;5,5200;1,5900;-0,0900;1,0700
09.02.00;-0,0015;22,9000;5,4900;1,7000;-0,0900;1,0700
10.02.00;-0,0026;23,0700;5,5000;1,7200;-0,0800;1,1700
11.02.00;-0,0120;24,4200;5,4900;1,7300;-0,0900;1,1400
14.02.00;-0,0069;24,3800;5,4700;1,7400;-0,4000;1,0900
15.02.00;0,0035;22,9200;5,5800;1,7700;-0,2100;0,9800
16.02.00;-0,0026;23,5100;5,5600;1,7900;-0,0800;1,0000
17.02.00;0,0058;23,1700;5,5700;1,7500;-0,1400;1,0100
18.02.00;-0,0079;26,0000;5,5800;1,8200;-0,1200;0,9100
21.02.00;0,0000;26,0000;5,5900;1,9200;-0,1100;0,8000
22.02.00;-0,0034;25,8600;5,6000;1,8800;-0,1000;0,7600
23.02.00;-0,0011;23,8900;5,6400;1,8400;-0,1200;0,8000
24.02.00;-0,0044;24,3800;5,6300;1,9400;-0,0400;0,7300
25.02.00;-0,0009;25,2000;5,6200;1,9900;-0,1400;0,7400
28.02.00;-0,0021;24,6800;5,6300;2,0100;-0,1600;0,7400
29.02.00;0,0107;23,3700;5,6200;1,9100;-0,0900;0,8000
01.03.00;-0,0063;21,6400;5,6000;1,9600;-0,1100;0,7900
02.03.00;-0,0021;21,0600;5,6000;1,9500;-0,1100;0,8000
03.03.00;0,0020;19,2100;5,6300;1,9300;-0,1600;0,7600
06.03.00;0,0003;21,5000;5,6600;1,9100;-0,1900;0,7600
07.03.00;-0,0110;24,3100;5,6700;1,9500;0,0000;0,7200
08.03.00;0,0019;23,8200;5,6700;1,9800;0,0100;0,7100
09.03.00;0,0001;22,2100;5,6600;2,0500;-0,0400;0,6900
10.03.00;0,0000;21,2400;5,7000;2,0900;0,0000;0,6900
13.03.00;-0,0012;22,8500;5,7100;2,1700;0,0100;0,6500
14.03.00;0,0078;24,4100;5,7100;2,1500;0,0100;0,6000
15.03.00;0,0099;22,3400;5,6900;2,1700;-0,1200;0,6000
16.03.00;0,0200;20,7700;5,7000;2,1600;-0,0700;0,5600
17.03.00;0,0046;22,3700;5,7200;2,1600;-0,0400;0,4800
20.03.00;0,0019;22,9600;5,7400;2,1400;0,0100;0,4400
21.03.00;0,0036;21,7000;5,7400;2,1800;0,0100;0,3900
