Date;RESI;VIX;TBR3M;CRESPR;LIQSPR;YIESPR
30.12.99;-0,0087;24,76;5,07;1,84;0,19;1,32
31.12.99;0,0044;24,64;5,17;1,73;1,18;1,28
03.01.00;-0,0106;24,21;5,27;1,69;1,28;1,31
04.01.00;-0,0096;27,01;5,27;1,72;1,28;1,22
05.01.00;0,0043;26,41;5,28;1,67;-0,15;1,34
06.01.00;0,017;25,73;5,25;1,67;-0,13;1,32
07.01.00;0,0219;21,72;5,22;1,7;-0,19;1,3
10.01.00;0,0126;21,71;5,24;1,7;-0,3;1,33
11.01.00;-0,0035;22,5;5,27;1,69;-0,34;1,4
12.01.00;-0,0049;22,84;5,29;1,68;-0,32;1,43
13.01.00;-0,0015;21,71;5,25;1,75;-0,36;1,38
14.01.00;-0,0019;19,66;5,25;1,73;-0,49;1,44
17.01.00;0;19,66;5,25;1,72;-0,38;1,45
18.01.00;0,0055;21,5;5,24;1,72;-0,35;1,51
19.01.00;0,0052;21,72;5,35;1,7;-0,23;1,38
20.01.00;-0,0036;21,75;5,32;1,66;-0,24;1,47
21.01.00;-0,0012;20,82;5,31;1,63;-0,25;1,48
24.01.00;-0,0113;24,07;5,32;1,67;-0,24;1,37
25.01.00;-0,0024;23,02;5,4;1,63;-0,16;1,3
26.01.00;0,0007;23,03;5,41;1,59;-0,42;1,28
27.01.00;-0,0001;23,54;5,42;1,55;-0,05;1,26
28.01.00;-0,0047;26,14;5,48;1,6;0,04;1,18
31.01.00;-0,008;24,95;5,53;1,68;0,17;1,15
01.02.00;0,0047;23,45;5,54;1,65;0,18;1,08
02.02.00;0,0006;23,12;5,49;1,62;0,13;1,11
03.02.00;0,0046;22,01;5,46;1,64;-0,07;1,03
04.02.00;-0,0051;21,54;5,5;1,6;0,04;1,03
07.02.00;-0,0001;22,79;5,47;1,66;-0,05;1,17
08.02.00;0,0013;21,25;5,52;1,59;-0,09;1,07
09.02.00;-0,0015;22,9;5,49;1,7;-0,09;1,07
10.02.00;-0,0026;23,07;5,5;1,72;-0,08;1,17
11.02.00;-0,012;24,42;5,49;1,73;-0,09;1,14
14.02.00;-0,0069;24,38;5,47;1,74;-0,4;1,09
15.02.00;0,0035;22,92;5,58;1,77;-0,21;0,98
16.02.00;-0,0026;23,51;5,56;1,79;-0,08;1
17.02.00;0,0058;23,17;5,57;1,75;-0,14;1,01
18.02.00;-0,0079;26;5,58;1,82;-0,12;0,91
21.02.00;0;26;5,59;1,92;-0,11;0,8
22.02.00;-0,0034;25,86;5,6;1,88;-0,1;0,76
23.02.00;-0,0011;23,89;5,64;1,84;-0,12;0,8
24.02.00;-0,0044;24,38;5,63;1,94;-0,04;0,73
25.02.00;-0,0009;25,2;5,62;1,99;-0,14;0,74
28.02.00;-0,0021;24,68;5,63;2,01;-0,16;0,74
29.02.00;0,0107;23,37;5,62;1,91;-0,09;0,8
01.03.00;-0,0063;21,64;5,6;1,96;-0,11;0,79
02.03.00;-0,0021;21,06;5,6;1,95;-0,11;0,8
03.03.00;0,002;19,21;5,63;1,93;-0,16;0,76
06.03.00;0,0003;21,5;5,66;1,91;-0,19;0,76
07.03.00;-0,011;24,31;5,67;1,95;0;0,72
08.03.00;0,0019;23,82;5,67;1,98;0,01;0,71
09.03.00;0,0001;22,21;5,66;2,05;-0,04;0,69
10.03.00;0;21,24;5,7;2,09;0;0,69
13.03.00;-0,0012;22,85;5,71;2,17;0,01;0,65
14.03.00;0,0078;24,41;5,71;2,15;0,01;0,6
15.03.00;0,0099;22,34;5,69;2,17;-0,12;0,6
16.03.00;0,02;20,77;5,7;2,16;-0,07;0,56
17.03.00;0,0046;22,37;5,72;2,16;-0,04;0,48
20.03.00;0,0019;22,96;5,74;2,14;0,01;0,44
21.03.00;0,0036;21,7;5,74;2,18;0,01;0,39
22.03.00;0,002;21,49;5,74;2,2;0,01;0,39
23.03.00;0,0007;22,26;5,73;2,2;-0,08;0,35
24.03.00;-0,0033;23,31;5,74;2,13;-0,11;0,46
27.03.00;-0,0014;24,53;5,69;2,11;-0,09;0,52
28.03.00;-0,0004;24,86;5,72;2,16;-0,04;0,45
29.03.00;0,0054;24,1;5,73;2,2;0,01;0,45
30.03.00;0,0013;25,47;5,71;2,3;-0,01;0,35
31.03.00;0,0069;24,11;5,72;2,3;0;0,31
03.04.00;-0,001;24,03;5,69;2,3;-0,04;0,31
04.04.00;0,0005;27,12;5,67;2,38;-0,01;0,23
05.04.00;0,0073;28,41;5,7;2,45;-0,07;0,2
06.04.00;0,0159;27,15;5,72;2,39;-0,07;0,21
07.04.00;0,0063;24,39;5,73;2,4;-0,02;0,13
10.04.00;0,0069;25,99;5,7;2,44;-0,05;0,1
11.04.00;0,0064;27,25;5,67;2,45;-0,08;0,22
12.04.00;0,0066;28,98;5,67;2,44;-0,14;0,3
