Date;AIG;ALL;BRK;MET;PRU;BAC;C;GS;JPM;LEH;MS;AXP;BK;COF;PNC;STT;USB;WFC;FMCC;FNMA
30.12.99;227.490,00;87.286,00;71.290,00;236.441,00;257.675,00;574.762,00;640.630,00;240.354,00;348.701,00;117.250,00;349.956,00;122.870,00;58.261,00;9.939,00;63.347,00;52.512,00;73.890,00;184.886,00;360.711,00;547.619,00
31.12.99;227.490,00;87.286,00;71.290,00;236.441,00;257.675,00;574.762,00;640.630,00;240.354,00;348.701,00;117.250,00;349.956,00;122.870,00;58.261,00;9.939,00;63.347,00;52.512,00;73.890,00;184.886,00;360.711,00;547.619,00
03.01.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
04.01.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
05.01.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
06.01.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
07.01.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
10.01.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
11.01.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
12.01.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
